               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096252,            0.030651,            0.025503,            0.010595,                   1,            0.022111,           0.0066333,            0.044178,             0.02152,            0.021082,           0.0032639,           0.0032639,            0.070625
                   1,             0.08811,            0.035411,            0.022165,           0.0077519,                   1,            0.026184,           0.0026184,            0.041393,            0.021923,            0.022692,           0.0065319,           0.0065319,             0.04056
                   2,            0.078526,            0.035481,            0.019277,             0.45254,                   1,              0.4975,             0.04975,             0.04702,            0.020515,            0.017282,           0.0097339,           0.0097339,            0.010428
                   3,            0.072605,            0.035942,            0.017396,                   0,                   0,                   0,                   0,            0.085621,            0.031501,            0.075835,            0.009703,            0.009703,            0.009703
                   4,            0.069582,            0.034723,             0.01215,              0.9971,                   1,               0.995,              0.6965,             0.02646,            0.028591,           0.0043209,            0.009703,            0.009703,            0.009703
                   5,            0.063727,            0.030853,             0.01214,             0.99412,                   1,               0.995,               0.398,            0.031495,            0.023079,            0.012211,            0.009604,            0.009604,            0.009604
                   6,            0.060651,            0.030784,             0.01132,             0.99973,                   1,               0.995,               0.398,            0.025511,             0.02111,             0.01355,            0.009505,            0.009505,            0.009505
                   7,            0.057779,            0.028678,            0.010367,             0.99502,                   1,               0.995,               0.398,             0.02393,            0.023358,            0.021567,            0.009406,            0.009406,            0.009406
                   8,            0.053154,            0.026254,           0.0093939,             0.99212,                   1,               0.995,               0.199,             0.02967,            0.015901,            0.035167,            0.009307,            0.009307,            0.009307
                   9,             0.05133,            0.026877,           0.0091207,              0.9995,                   1,               0.995,               0.398,            0.027095,            0.014171,           0.0059506,            0.009208,            0.009208,            0.009208
                  10,            0.048829,            0.024737,           0.0082238,             0.99356,                   1,               0.995,              0.2985,            0.041135,             0.01508,            0.001229,            0.009109,            0.009109,            0.009109
                  11,            0.047947,            0.023825,            0.007892,             0.99951,                   1,               0.995,              0.2985,            0.028963,            0.012119,           0.0097329,             0.00901,             0.00901,             0.00901
                  12,            0.046524,             0.02344,           0.0074941,             0.99966,                   1,               0.995,               0.597,            0.022027,            0.015535,           0.0014343,            0.008911,            0.008911,            0.008911
                  13,            0.046101,            0.023112,           0.0069141,             0.98863,                   1,               0.995,               0.597,             0.02366,            0.011034,            0.077993,            0.008812,            0.008812,            0.008812
                  14,             0.04458,            0.022205,           0.0074019,             0.99976,                   1,               0.995,              0.6965,            0.021766,            0.010703,           0.0026043,            0.008713,            0.008713,            0.008713
                  15,             0.04413,            0.022113,           0.0063626,             0.99986,                   1,               0.995,               0.597,            0.023456,            0.010836,           0.0032939,            0.008614,            0.008614,            0.008614
                  16,            0.042816,            0.021823,            0.006378,             0.99528,                   1,               0.995,              0.4975,            0.022252,            0.013831,            0.038025,            0.008515,            0.008515,            0.008515
                  17,            0.042624,            0.021408,           0.0061414,             0.99919,                   1,               0.995,              0.2985,            0.026671,           0.0091268,           0.0011172,            0.008416,            0.008416,            0.008416
                  18,            0.041089,            0.020455,           0.0058643,             0.99986,                   1,               0.995,               0.597,             0.01591,            0.013454,           0.0013116,            0.008317,            0.008317,            0.008317
                  19,            0.041234,            0.021358,           0.0060232,             0.98247,                   1,               0.995,              0.4975,            0.022288,            0.014389,            0.099703,            0.008218,            0.008218,            0.008218
                  20,            0.042178,            0.020896,           0.0060007,             0.99974,                   1,               0.995,              0.4975,            0.018734,            0.013442,           0.0047703,            0.008119,            0.008119,            0.008119
                  21,            0.040598,            0.020168,           0.0058264,             0.99968,                   1,               0.995,               0.398,            0.027943,            0.011155,           0.0027615,             0.00802,             0.00802,             0.00802
                  22,            0.039625,            0.019993,           0.0055166,              0.9997,                   1,               0.995,               0.398,            0.017669,            0.016814,           0.0031074,            0.007921,            0.007921,            0.007921
                  23,            0.039801,            0.020252,           0.0049647,             0.99988,                   1,               0.995,               0.597,            0.020441,            0.011296,          0.00068435,            0.007822,            0.007822,            0.007822
                  24,            0.038825,             0.02015,           0.0053636,             0.99952,                   1,               0.995,              0.2985,            0.029773,            0.013398,           0.0010399,            0.007723,            0.007723,            0.007723
                  25,             0.03876,            0.019607,           0.0044273,             0.99945,                   1,               0.995,              0.6965,             0.01977,            0.011565,          0.00093126,            0.007624,            0.007624,            0.007624
                  26,             0.03752,            0.019286,           0.0043199,             0.99998,                   1,               0.995,               0.597,            0.024385,           0.0092299,          0.00053387,            0.007525,            0.007525,            0.007525
                  27,            0.037013,            0.019465,           0.0044787,             0.99987,                   1,               0.995,               0.597,            0.020175,            0.014371,           0.0013638,            0.007426,            0.007426,            0.007426
                  28,            0.037987,            0.019716,           0.0045338,              0.9994,                   1,               0.995,              0.4975,            0.021035,            0.014181,           0.0085658,            0.007327,            0.007327,            0.007327
                  29,            0.037017,            0.018854,           0.0043379,             0.99979,                   1,               0.995,              0.4975,            0.024359,            0.010853,          0.00038702,            0.007228,            0.007228,            0.007228
                  30,            0.036553,            0.018585,           0.0045016,             0.99996,                   1,               0.995,               0.597,            0.017075,            0.015017,            0.003181,            0.007129,            0.007129,            0.007129
                  31,            0.037813,            0.019828,           0.0047085,             0.99975,                   1,               0.995,               0.597,            0.017616,            0.014023,           0.0061305,             0.00703,             0.00703,             0.00703
                  32,            0.036464,             0.01926,           0.0043328,             0.99948,                   1,               0.995,               0.398,            0.022391,            0.010263,            0.001687,            0.006931,            0.006931,            0.006931
                  33,            0.036176,            0.019496,           0.0044512,             0.99947,                   1,               0.995,               0.597,              0.0174,              0.0133,           0.0034735,            0.006832,            0.006832,            0.006832
                  34,            0.035428,            0.019008,           0.0041274,             0.99997,                   1,               0.995,               0.597,            0.018607,            0.011568,          0.00043918,            0.006733,            0.006733,            0.006733
                  35,            0.036213,            0.019094,           0.0037888,             0.99985,                   1,               0.995,              0.4975,            0.017169,            0.012581,          0.00070271,            0.006634,            0.006634,            0.006634
                  36,            0.035806,            0.018727,           0.0039058,             0.99979,                   1,               0.995,              0.6965,            0.017249,           0.0093311,           0.0003269,            0.006535,            0.006535,            0.006535
                  37,             0.03601,            0.018809,           0.0039207,                   1,                   1,               0.995,              0.4975,            0.021189,            0.012587,            0.089484,            0.006436,            0.006436,            0.006436
                  38,            0.035665,            0.018245,           0.0036972,             0.99952,                   1,               0.995,              0.4975,            0.019882,            0.012706,           0.0021264,            0.006337,            0.006337,            0.006337
                  39,            0.035296,            0.018287,           0.0039434,             0.99986,                   1,               0.995,               0.597,             0.01879,             0.01295,          0.00029212,            0.006238,            0.006238,            0.006238
                  40,            0.034784,            0.018135,            0.003519,                   1,                   1,               0.995,              0.2985,            0.024699,             0.01319,           0.0011972,            0.006139,            0.006139,            0.006139
                  41,            0.035503,            0.018121,           0.0039367,             0.99969,                   1,               0.995,               0.398,            0.021653,            0.014139,          0.00047522,             0.00604,             0.00604,             0.00604
                  42,            0.034891,            0.018424,           0.0040026,             0.99941,                   1,               0.995,              0.4975,            0.019578,            0.013615,          0.00067871,            0.005941,            0.005941,            0.005941
                  43,            0.033733,            0.017967,           0.0039864,             0.99954,                   1,               0.995,              0.4975,            0.021137,            0.011466,          0.00051574,            0.005842,            0.005842,            0.005842
